"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","ContactsAPI","addContact request","0","0","23","0","0"
"","UserAPI","addUser request","0","0","1","0","0"
"","UserAPI","postUser request to logout endpoint","0","0","1","0","0"
"","ContactsAPI","putContact request","0","0","10","0","0"
"","ContactsAPI","getAllContact request","0","0","1","0","0"
"","ContactsAPI","patchContact request","0","0","10","0","0"
"","UserAPI","getUser request","0","0","1","0","0"
"","ContactsAPI","getContact request","0","0","1","0","0"
"","UserAPI","postUser request to login endpoint","0","0","1","0","0"
"","ContactsAPI","deleteContact request","0","0","1","0","0"
"","UserAPI","deleteUser request","0","0","1","0","0"
"","UserAPI","putUser request","0","0","1","0","0"
